RECORD_TYPE,ORIGIN_RUN_ID,PILOT_ID,OBSERVATION_ID,EXPRESSION_FAMILY_ID,QUERY_TYPE,APPLICABILITY,NA_REASON,SURFACE_ROLE,ENGINE_OR_SURFACE,SOURCE_DOMAIN,QUERY_EXACT,SEARCH_URL,SEARCHED_AT_UTC,LOCALE,ACCESS_STATUS,ORGANIC_TARGET,ORGANIC_COUNT,ANALYST,RUN_NOTES,RESULT_ORDINAL,RESULT_URL,FINAL_URL,DOMAIN_OR_PLATFORM,RESULT_TITLE,SELLER_CREATOR,SELLER_RELATION,VISIBLE_PUBLICATION_DATE,MATCH_ELEMENTS,MATERIAL_MATCH,TRACEABLE_SOURCE,MATCH_NOTES,REPRESENTATIVE,CANONICAL_OBSERVATION_ID,EXPECTED_RUNS,COMPLETED_RUNS,NA_RUNS,BLOCKED_RUNS,CROSS_SELLER_RECURRENCE,TRACEABLE_CREATOR_OR_RIGHTS_SOURCE,PROVENANCE_CONFIDENCE,PROVENANCE_BASIS,FINAL_GATE0_DISPOSITION,DECISION_RATIONALE,DECIDED_BY,DECIDED_AT_UTC,LIMITATIONS
SEARCH_RUN,TRACE-P002-OR-ETSY-B09-EXACT-SOURCE,TRACE-PILOT-002,TRACE-P002-OBS-ETSY-06-TR-07,,EXACT-WORDING,REQUIRED,,SOURCE-NATIVE,Etsy signed-out native search,etsy.com,"""JAWS at Walnut Beach""",https://www.etsy.com/search?q=%22JAWS%20at%20Walnut%20Beach%22&instant_download=false,2026-09-25T18:27:59.757Z,United States / English (US) / USD,EXHAUSTED-LT10,10,6,Codex / p002_origin_etsy_b9_13,"6 organic results were exposed in the rendered search-result group; ads were excluded and every exposed organic result was recorded. SEQUENCE DEVIATION: this origin run began before the preregistered raw-frame stage had closed through DTC S12. Evidence is preserved without selection, EF, or SDC credit.",,,,,,,,,,,,,,,,,,,,,,,,,,,
ORGANIC_RESULT,TRACE-P002-OR-ETSY-B09-EXACT-SOURCE,TRACE-PILOT-002,TRACE-P002-OBS-ETSY-06-TR-07,,EXACT-WORDING,,,SOURCE-NATIVE,Etsy signed-out native search,etsy.com,,,,,,,,,,1,https://www.etsy.com/listing/4532612141/jaws-at-walnut-beach-vintage-merch-adult,UNAVAILABLE — result not opened; first-page search card/snippet reviewed,etsy.com,"JAWS at Walnut Beach Vintage Merch | Adult & Youth T-Shirts | Vinyl Beach Sticker | Milford, Connecticut Souvenirs + Gifts",nefarmhousedesign,SOURCE-SELLER,UNAVAILABLE — not shown in search result,Exact candidate wording and title,YES,YES,Source listing; exact wording and commercial expression.,YES,,,,,,,,,,,,,,
ORGANIC_RESULT,TRACE-P002-OR-ETSY-B09-EXACT-SOURCE,TRACE-PILOT-002,TRACE-P002-OBS-ETSY-06-TR-07,,EXACT-WORDING,,,SOURCE-NATIVE,Etsy signed-out native search,etsy.com,,,,,,,,,,2,https://www.etsy.com/listing/4560702306/the-nut-walnut-creek-graphic-t-shirt,UNAVAILABLE — result not opened; first-page search card/snippet reviewed,etsy.com,The Nut | Walnut Creek graphic T-Shirt | Walnut Creek CA vintage logo,LuminousLA,UNRELATED-SELLER,UNAVAILABLE — not shown in search result,Walnut token only,NO,NO,Unrelated Walnut Creek design.,NO,,,,,,,,,,,,,,
ORGANIC_RESULT,TRACE-P002-OR-ETSY-B09-EXACT-SOURCE,TRACE-PILOT-002,TRACE-P002-OBS-ETSY-06-TR-07,,EXACT-WORDING,,,SOURCE-NATIVE,Etsy signed-out native search,etsy.com,,,,,,,,,,3,https://www.etsy.com/listing/1300041866/four-walnut-shell-fairy-baskets-for,UNAVAILABLE — result not opened; first-page search card/snippet reviewed,etsy.com,"Walnut Shell Fairy Baskets (Set of 4), Handmade DIY Crafting Supplies",WhimsicalWalnuts,UNRELATED-SELLER,UNAVAILABLE — not shown in search result,Walnut token only,NO,NO,Unrelated craft supply.,NO,,,,,,,,,,,,,,
ORGANIC_RESULT,TRACE-P002-OR-ETSY-B09-EXACT-SOURCE,TRACE-PILOT-002,TRACE-P002-OBS-ETSY-06-TR-07,,EXACT-WORDING,,,SOURCE-NATIVE,Etsy signed-out native search,etsy.com,,,,,,,,,,4,https://www.etsy.com/listing/4316225437/walnut-wood-175-thick-select-a-size,UNAVAILABLE — result not opened; first-page search card/snippet reviewed,etsy.com,"Walnut Wood - 1.75"" Thick - Select a Size",JeffMackSupply,UNRELATED-SELLER,UNAVAILABLE — not shown in search result,Walnut token only,NO,NO,Unrelated lumber product.,NO,,,,,,,,,,,,,,
ORGANIC_RESULT,TRACE-P002-OR-ETSY-B09-EXACT-SOURCE,TRACE-PILOT-002,TRACE-P002-OBS-ETSY-06-TR-07,,EXACT-WORDING,,,SOURCE-NATIVE,Etsy signed-out native search,etsy.com,,,,,,,,,,5,https://www.etsy.com/listing/4314938930/jaws-reward-bounty-on-shark-that-killed,UNAVAILABLE — result not opened; first-page search card/snippet reviewed,etsy.com,"JAWS Reward bounty on shark that killed Alex Kintner 8 x 12"" metal sign -",DrMud,UNRELATED-SELLER,UNAVAILABLE — not shown in search result,JAWS title plus named film character Alex Kintner,YES,YES,"Distinct JAWS film merchandise; confirms entertainment-property dependency, not the same local expression.",YES,,,,,,,,,,,,,,
ORGANIC_RESULT,TRACE-P002-OR-ETSY-B09-EXACT-SOURCE,TRACE-PILOT-002,TRACE-P002-OBS-ETSY-06-TR-07,,EXACT-WORDING,,,SOURCE-NATIVE,Etsy signed-out native search,etsy.com,,,,,,,,,,6,https://www.etsy.com/listing/1456447154/modern-solid-wood-floating-shelf-with,UNAVAILABLE — result not opened; first-page search card/snippet reviewed,etsy.com,Modern Solid wood Floating Shelf with hidden metal brackets / Unique wood grain / Wall Decor,IBCDwoodworkUS,UNRELATED-SELLER,UNAVAILABLE — not shown in search result,Walnut token only,NO,NO,Unrelated furniture.,NO,,,,,,,,,,,,,,
SEARCH_RUN,TRACE-P002-OR-ETSY-B09-TITLE-SOURCE,TRACE-PILOT-002,TRACE-P002-OBS-ETSY-06-TR-07,,CLEAN-TITLE,REQUIRED,,SOURCE-NATIVE,Etsy signed-out native search,etsy.com,"""JAWS at Walnut Beach"" vintage merch shirt",https://www.etsy.com/search?q=%22JAWS%20at%20Walnut%20Beach%22%20vintage%20merch%20shirt&instant_download=false,2026-09-25T18:26:58.227Z,United States / English (US) / USD,EXHAUSTED-LT10,10,6,Codex / p002_origin_etsy_b9_13,"6 organic results were exposed in the rendered search-result group; ads were excluded and every exposed organic result was recorded. SEQUENCE DEVIATION: this origin run began before the preregistered raw-frame stage had closed through DTC S12. Evidence is preserved without selection, EF, or SDC credit.",,,,,,,,,,,,,,,,,,,,,,,,,,,
ORGANIC_RESULT,TRACE-P002-OR-ETSY-B09-TITLE-SOURCE,TRACE-PILOT-002,TRACE-P002-OBS-ETSY-06-TR-07,,CLEAN-TITLE,,,SOURCE-NATIVE,Etsy signed-out native search,etsy.com,,,,,,,,,,1,https://www.etsy.com/listing/4532612141/jaws-at-walnut-beach-vintage-merch-adult,UNAVAILABLE — result not opened; first-page search card/snippet reviewed,etsy.com,"JAWS at Walnut Beach Vintage Merch | Adult & Youth T-Shirts | Vinyl Beach Sticker | Milford, Connecticut Souvenirs + Gifts",nefarmhousedesign,SOURCE-SELLER,UNAVAILABLE — not shown in search result,Exact candidate title,YES,YES,Source listing.,YES,,,,,,,,,,,,,,
ORGANIC_RESULT,TRACE-P002-OR-ETSY-B09-TITLE-SOURCE,TRACE-PILOT-002,TRACE-P002-OBS-ETSY-06-TR-07,,CLEAN-TITLE,,,SOURCE-NATIVE,Etsy signed-out native search,etsy.com,,,,,,,,,,2,https://www.etsy.com/listing/4560702306/the-nut-walnut-creek-graphic-t-shirt,UNAVAILABLE — result not opened; first-page search card/snippet reviewed,etsy.com,The Nut | Walnut Creek graphic T-Shirt | Walnut Creek CA vintage logo,LuminousLA,UNRELATED-SELLER,UNAVAILABLE — not shown in search result,Walnut token only,NO,NO,Unrelated design.,NO,,,,,,,,,,,,,,
ORGANIC_RESULT,TRACE-P002-OR-ETSY-B09-TITLE-SOURCE,TRACE-PILOT-002,TRACE-P002-OBS-ETSY-06-TR-07,,CLEAN-TITLE,,,SOURCE-NATIVE,Etsy signed-out native search,etsy.com,,,,,,,,,,3,https://www.etsy.com/listing/1044006149/jaws-70s-barrels-navy-heather-adult-t,UNAVAILABLE — result not opened; first-page search card/snippet reviewed,etsy.com,Jaws 70's Barrels Navy Heather Adult T-Shirt,OfficialBandShirts,UNRELATED-SELLER,UNAVAILABLE — not shown in search result,JAWS film title and 1970s merchandise framing,YES,YES,Separate JAWS film merchandise; traceable entertainment source.,YES,,,,,,,,,,,,,,
ORGANIC_RESULT,TRACE-P002-OR-ETSY-B09-TITLE-SOURCE,TRACE-PILOT-002,TRACE-P002-OBS-ETSY-06-TR-07,,CLEAN-TITLE,,,SOURCE-NATIVE,Etsy signed-out native search,etsy.com,,,,,,,,,,4,https://www.etsy.com/listing/1287126495/jaws-mens-t-shirt-quints-shark-charter,UNAVAILABLE — result not opened; first-page search card/snippet reviewed,etsy.com,Jaws Men's T-Shirt Quint's Shark Charter Graphic Tees,TheSocietees,UNRELATED-SELLER,UNAVAILABLE — not shown in search result,JAWS title and Quint film reference,YES,YES,Separate JAWS film merchandise; traceable entertainment source.,YES,,,,,,,,,,,,,,
ORGANIC_RESULT,TRACE-P002-OR-ETSY-B09-TITLE-SOURCE,TRACE-PILOT-002,TRACE-P002-OBS-ETSY-06-TR-07,,CLEAN-TITLE,,,SOURCE-NATIVE,Etsy signed-out native search,etsy.com,,,,,,,,,,5,https://www.etsy.com/listing/1791048263/post-nut-clarity-funny-screenprinted,UNAVAILABLE — result not opened; first-page search card/snippet reviewed,etsy.com,Post Nut Clarity Funny Screenprinted Vintage Wash Comfort Colors Graphic T-Shirt,FreddyTylerPaul,UNRELATED-SELLER,UNAVAILABLE — not shown in search result,Generic vintage-shirt terms only,NO,NO,Unrelated expression.,NO,,,,,,,,,,,,,,
ORGANIC_RESULT,TRACE-P002-OR-ETSY-B09-TITLE-SOURCE,TRACE-PILOT-002,TRACE-P002-OBS-ETSY-06-TR-07,,CLEAN-TITLE,,,SOURCE-NATIVE,Etsy signed-out native search,etsy.com,,,,,,,,,,6,https://www.etsy.com/listing/4323373145/t-shirt-for-shark-lovers-with-retro,UNAVAILABLE — result not opened; first-page search card/snippet reviewed,etsy.com,"Shark Week Retro Beach Graphic Tee, Jaws Fan Summer Vacation Apparel",JessieDeane,UNRELATED-SELLER,UNAVAILABLE — not shown in search result,Jaws fan and shark/beach framing,YES,YES,Explicitly described as Jaws fan apparel.,YES,,,,,,,,,,,,,,
